N°;NOMBRE;DIRECCIÓN;TELÉFONO;FAX;RFC;CORREO;WEB;CONTACTO;PUESTO CONTACTO;TÉLEFONO CONTACTO;MOVIL CONTACTO;CORREO CONTACTO;TELÉFONO ALTERNO 1;TELÉFONO ALTERNO 2;CANTIDADES COMPRADAS; CANTIDADES EN $  
1;AUTOMOTRIZ LOMAS VERDES, S.A. DE C.V.;LOMAS VERDES 557, LOMAS VERDES, NAUCALPAN, EDO. DE MEX.;5343-2122;5343-2122,5343-1633;ALV850612PHG;;;;;;;;5343-1633;;1;87.575,60
2;AUTOBASA DE LAGOS, S.A. DE C.V.;FELIX RAMIREZ RENTERIA No. 1022 COL. PUEBLO DE MOYA C.P. 47430, LAGOS DE MORENO, JAL.;01 (474) 742-3250;01 (474) 742-3250,01 (474) 742-3418;ALA861130F94;;;;;;;;01 (474) 742-3418;;1;110.000,00
3;AVANCES TECNOLOGICOS EN TELECOMUNICACIONES, S.A. DE C.V.;AV. INSTITUTO TECNICO INDUSTRIAL No. 5, 2o. PISO COL. SANTA MARIA LA RIBERA, DELEG. CUAUHTEMOC, C.P. 06400 MEXICO D.F.;5233-6271;5233-6271,5566-3090;ATT9712091R3;;www.avancestecnologicos.com.mx;;;;;;5566-3090;;1;99.200,00
4;SONI AUTOMOTORES, S.A. DE C.V.;AV. AQUILES SERDAN No. 1351-A EL ROSARIO AZCAPOTZALCO C.P. 02430, MEXICO D.F.;5394-1222;5394-8985;SAU860515TJA;;;;;;;;5394-1526;5394-1824,5394-1825;1;89.652,20
5;AUTOMOTRIZ CENTRAL DE MEXICO, S.A. DE C.V.;AV. INSURGENTES SUR No. 1468, COL. DEL VALLE, C.P. 03100 DELEG. BENITO JUAREZ, MEXICO, D.F.;1087-4010;5524-6840,5534-9735;ACM850712MW2;nisanaut@supernet.com.mx;www.nissanmanacar.com.mx;;;;;;;;1;92.568,70
6;OTHONIEL MARQUEZ ACEVEDO;CALLE 15 PONIENTE Nª. 1000 A FRACC. CONCORDIA TEHUACAN, PUE.;123827516;;MAA-78030232;;;;;;;;;;1;135.000,00
7;AUTOMOTORES CANCÚN, S.A. DE C.V.;BOULEVARD LUIS DONALDO COLOSIO, MZA. 5, LOTE 1. SMZ. 310;(01 998) 848 8930;;ACA830901ML5;;;ARTURO MARTÍNEZ CRUZ;;;;;;;1;123.273,00
8;PLASENCIA DE NAYARIT, S.A. DE C.V.;AV. INSURGENTES 752 PTE. COL. EL RODEO , TEPIC, NAYARIT, C.P. 63060;216 38 00;212 26 37;PNA-980928194;;;;;;;;216 24 85;216 24 75;1;140.870,00
9;TECNOPESCA MEXICANA S.A. DE C.V.;AV. FUERZA AEREA MEXICANA No. 310-A C.P. 15730 MEXICO, D.F.;5762-7788;5762-0366;TME810331CF2;;;;;;;;5562-7997;5762-7312;2;119.483,00
10;LANCHAS Y MOTORES DE MEXICO, S.A.;PIRINEOS No. 142-C COL. PORTALES C.P. 03300, MEXICO D.F.;5605-0418;5605-0418,5605-9517;LMM601011V54;;;;;;;;5605-9517;;2;265.025,00
11;AUTOMOTRIZ AJUSCO, S.A. DE C.V.;AZUCENA No. 2, ESQ. DILIGENCIAS, COL. SAN PEDRO MARTIR C.P. 14650, DELEG. TLALPAN, MEXICO, D.F.;5655-5000;5655-5000;AAJ841112SE9;;;;;;;;;;2;190.274,00
12;GONZALEZ R. AUTOMOTRIZ, S.A. DE C.V.;BLVD. LUIS ENCINAS J. Y REFORMA COL. VALLE HERMOSO, HERMOSILLO, SON. C.P. 83200, AP. 164;01 ( ) 289-1400;01 ( ) 289-1400,01 ( ) 289-1401;GRA880621E6A;gonzalezautomotriz@dchrysler.com.mx;;;;;;;01 ( ) 289-1401;;2;418.956,00
13;LA PROVEEDORA COMPAÑÍA DE AUTOMOVILES S.A. DE C.V.;RIO PO No. 93 COL. CUAUHTEMOC, C.P. 06500, MEXICO D.F.;5207-2201;5207-2201;PAU841126K65;;;;;;;;;;2;373.000,00
14;LECTA CONSTRUCCIONES, S.A. DE C.V.;TEZOZOMOC NO. 130 A COL. ALTARES, HERMOSILLO, SONORA;6622549288;6622549288;LCO0402201X3;;;LEDEZMA;REPRESENTANTE LEGAL;;;;;;2;519.000,00
15;CRUCES DE TABASCO, S.A. DE C.V.;AV. 16 DE SEPTIEMBRE, ESQ. PROLONGACION LA CEIBA NO. 103 COL. 1 DE MAYO, C.P. 86190 VILLAHERMOSA, TABASCO;01 (993) 3104800;01 (993) 3150922;CTA851219C88;;;;;;;;;;2;362.721,00
16;GINZA AUTOMOTORES, S.A DE C.V.;BLVD. DR. BELISARIO DOMINGUEZ KM. 1083;19616187500;;GAU851219-3C;;;ALFREDO NAVARRO ARAUJO;GERENTE GENERAL;6026655;;;;;2;211.304,00
17;VEHÍCULOS DE GUANAJUATO, S.A. DE C.V.;CARR. GUANAJUATO - JUVENTINO ROSAS, KM. 5.5, GUANAJUATO, GTO. C.P. 36250;(01 473) 735 3100;;VGU811110LUA;;;JOSÉ ANTONIO CABELLO VEGA;;;;;;;2;304.782,00
18;BANCO NACIONAL DE MEXICO S.A. FIDEICOMISO ARRECIFES DE LA COSTA OCC DE IMPCPN;AV. TULUM NUM. 19 SM. 5 CANCUN Q. ROO;883-26-00;;BNM960724-397;;;;;;;;;;2;295.728,00
19;SCIENTIFIC EQUIPMENT DE MEXICO, S.A. DE C.V.;CALLE MIGUEL CABRERA No. MODULO 2 NUEVA OTAY TIJUANA, B. CALIFORNIA;472724;234-109;SEM810414N68;;;;;;;;472722;;3;71.209,10
20;INDUSTRIAS TONALY, S.A. DE C.V.;LEANDRO VALLE SUR No. 24-A COL. MELCHOR OCAMPO C.P. 61503 H. ZITACUARO, MICH.;01 (715) 153-8402;01 (715) 153-1192;ITO880628MK9;;;;;;;;;;3;495.629,00
21;YAMAHA, DISTRIBUIR AUTORIZADO, RAMON OLVERA VELASCO;FORJADORES No. 3112, CALLE 2 Y ALAMO, LA PAZ B.C.S.;01 (612) 125-3711;01 (612) 125-3711;OEVR421006436;;;;;;;;01 (612) 122-5700;;3;249.146,00
22;SEESA TELECOMUNICACIONES, S.A DE C.V.;TUXPAN 69, COL. ROMA SUR, DELEGACIÒN CUAUHTEMOC MEXICO, D.F. CP. 06760;01558589-8600 AL 05;55+91125950;STE9408317K0;;WW.VIDEOCONFERENCIAS.COM.MX;MARLEN SABINO SANCHEZ;REPRESENTANTE LEGAL;;;;;;3;327.098,00
23;MOTOCICLETAS Y BICICLETAS DE SATELITE, S.A. DE C.V.;AV. SOR JUANA INEZ DE LA CRUZ No. 157, TLALNEPANTLA EDO. DE MEX.;5390-8824;5565-0044;MBS900919GKA;;;JOSE A. ESCOBAR ALVAREZ;GERENTE DE VENTAS;;;;5390-8824;5390-8717;4;86.548,00
24;INDUSTRIA MEXICANA DE EQUIPO MARINO, S.A. DE C.V.;XOLA 1152, COL. DEL VALLE C.P. 03100 MEXICO D.F.;5639-6580;5639-0562;IME7305073A1;;;;;;;;5639-7580;5639-8580;4;73.047,50
25;JR INTERCONTROL, S.A. DE C.V.;BLVD. MANUEL AVILA CAMACHO No. 374 COL. SAN FRANCISCO CUAUTLALPAN C.P. 53560, NAUCALPAN EDO. DE MEX.;5359-0223;5359-3866;JRI840903AF3;www.jrintercontrol.com.mx;jrinter@acnet.net;;;;;;;;4;92.714,10
26;SERVICIOS ESPECIALES DE VENTAS AUTOMOTRICES, S.A. DE C.V.;ALFONSO ESPARZA OTEO 67, COL. GUADALUPE INN, DELEG. ALVARO OBREGON, C.P. 01020 MEXICO, D.F.;5661-6655;5661-6655,5661-5779;SEV820427NI4;;;;;;;;5661-5779;;4;380.474,00
27;ALDEN TLALPAN S.A. DE C.V.;CALZ. DE TLALPAN # 2169;54841500;;ALDENTLALPA;;;;;;;;;;4;604.044,00
28;CHEVROLET DEL CARIBE, S.A. DE C.V.;AV. CHICHEN ITZA MZ-100 LT-6 INT-2 LIB. KABAH, S.M. 38;(01998) 8 8656 73;;CCA821213HU6;;;JOSE LUIS PEÑA VILLAREAL;;;;;;;4;718.200,00
29;CRISOSTOMO BAHENA JAIR;CALLE 10 LOTE 19-1 SMZ. 61 C.P. 77514 CANCUN Q. ROO;S/N;;CIBJ832131S8;;;;;;;;S/N;;4;68.000,00
30;COMPACTOS ORIENTALES, S.A. DE C.V.;AV. UNIVERSIDAD 1046, COL. GRAL. PEDRO MA. ANAYA, DELEG. BENITO JUAREZ C.P. 03340, MEXICO D.F.;5604-8207;5688-1932;COR660716SG2;;;;;;;;5604-8253;5604-8294;5;464.577,00
31;CONTINENTAL AUTOMOTRIZ, S.A. DE C.V.;AV. LIC. BENITO JUAREZ No. 1556, METEPEC, MEXICO C.P. 52140;5216-1122;5216-0977;CAU8610017F5;;;;;;;;5216-1379;;5;680.428,00
32;INTEGRADORA DE TECNOLOGIA, S.A. DE C.V.;CAMINO AL DESIERTO DE LOS LEONES No. 35 INT. 3-P COL. SAN ANGEL INN C.P. 01000, MEXICO, D.F.;5481-1800;5481-1870;ITE9701222Q9;;www.integradores.com.mx;;;;;;;;5;144.390,00
33;SISTEMAS DE INTERMEDIACION DE MEXICO, S.A. DE C.V.;CALLE SUR 112 No. 104, COL. COVE DELELG. ALVARO OBREGON C.P. 01120 MEXICO, D.F.;5272-3339;5272-3339,5272-6156;SIM980609BX6;;;;;;;;5272-6156;;5;63.285,00
34;HS SOLUCIONES Y SISTEMAS INTEGRALES, S.A. DE C.V.;VIENA No. 175 DEPTO. 4 COL. DEL CARMEN C.P. 04100, DELEG. COYOACAN, MEXICO, D.F.;5339-6380;5339-6380;HSS040928EP2;hsoluciones@prodigy.net.mx;;;;;;;;;5;68.375,00
35;AUTOS KINO, S.A. DE C.V.;BLVD. KINO Y CALLE ALVARADO, COL. PITIC, HERMOSILLO, SONORA;6622892500;6622892502;AKI890707919;;;ERICK VALENCIA;EJECUTIVO DE VENTAS;;;;;;5;578.869,00
36;LA PROVEDORA, COMPAÑIA DE AUTOMOVILES, S.A. DE C.V.;RIO PO, NUM. 93, COLONIA CUAUHTEMOC, C.P. 06500, MEXICO, D.F.;5207-2201;;PAU841126K65;;;;;;;;5207-2201;;5;841.000,00
